epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8374.37,0.79139,0.5582,1.27554,0.5631,0.50397,0.54213,0.34689,1.11051,0.75243,1.5631,0.000737551,0.000737551,0.000737551
43,8576.34,0.78716,0.54245,1.27062,0.56642,0.50929,0.54325,0.35295,1.10695,0.75173,1.55236,0.000725053,0.000725053,0.000725053
44,8777.5,0.78475,0.53963,1.26699,0.52396,0.52873,0.53616,0.34879,1.10331,0.73974,1.55718,0.000712554,0.000712554,0.000712554
45,8986.9,0.77442,0.53381,1.25774,0.53741,0.59574,0.53553,0.3542,1.10709,0.75607,1.55787,0.000700055,0.000700055,0.000700055
46,9204.85,0.76268,0.52539,1.25089,0.62066,0.55373,0.56497,0.36711,1.118,0.76098,1.57658,0.000687556,0.000687556,0.000687556
47,9460.73,0.75807,0.51457,1.24404,0.5716,0.53986,0.53901,0.35047,1.11129,0.75196,1.58754,0.000675058,0.000675058,0.000675058
48,9689.85,0.75504,0.50917,1.24033,0.55528,0.56623,0.54651,0.35049,1.12551,0.73617,1.59737,0.000662559,0.000662559,0.000662559
49,9899.59,0.74487,0.50052,1.22738,0.55243,0.58811,0.546,0.35747,1.11041,0.74674,1.58685,0.00065006,0.00065006,0.00065006
50,10202.7,0.73759,0.49709,1.22206,0.59316,0.55263,0.55593,0.35566,1.12305,0.73663,1.59174,0.000637561,0.000637561,0.000637561
51,10416.5,0.72858,0.48672,1.21633,0.55866,0.56034,0.54173,0.36123,1.10397,0.72001,1.58184,0.000625062,0.000625062,0.000625062
52,10613,0.72595,0.47365,1.2153,0.66545,0.5382,0.58095,0.38039,1.12228,0.73851,1.5972,0.000612564,0.000612564,0.000612564
53,10815,0.71621,0.47706,1.20146,0.58317,0.57946,0.56037,0.36085,1.12472,0.73145,1.60149,0.000600065,0.000600065,0.000600065
54,11017.8,0.70688,0.47141,1.19841,0.69039,0.55136,0.56366,0.35685,1.12626,0.7272,1.60353,0.000587566,0.000587566,0.000587566
55,191.049,0.76251,0.52762,1.25577,0.59458,0.56607,0.54037,0.34447,1.139,0.74465,1.62717,0.000575067,0.000575067,0.000575067
56,382.845,0.72625,0.49387,1.21316,0.82535,0.5354,0.55004,0.35129,1.13846,0.73782,1.61849,0.000562569,0.000562569,0.000562569
57,572.678,0.71072,0.47345,1.20309,0.55369,0.59752,0.54677,0.34897,1.1334,0.72802,1.61929,0.00055007,0.00055007,0.00055007
58,760.351,0.69696,0.46189,1.19338,0.61773,0.56759,0.55928,0.36232,1.12014,0.7119,1.60861,0.000537571,0.000537571,0.000537571
59,950.889,0.68321,0.44537,1.17847,0.70214,0.54018,0.55991,0.36522,1.13452,0.72083,1.60997,0.000525073,0.000525073,0.000525073
60,1137.07,0.67195,0.43596,1.17386,0.50552,0.61688,0.5504,0.35157,1.1467,0.73761,1.64876,0.000512574,0.000512574,0.000512574
61,1329.86,0.67405,0.43506,1.1679,0.57468,0.57895,0.56558,0.36089,1.11762,0.72546,1.60835,0.000500075,0.000500075,0.000500075
62,1531.05,0.66333,0.42691,1.15828,0.57341,0.61469,0.56884,0.36584,1.12195,0.71817,1.61467,0.000487576,0.000487576,0.000487576
63,1726.03,0.65884,0.42326,1.15405,0.53011,0.63545,0.55835,0.36138,1.12912,0.71859,1.62806,0.000475078,0.000475078,0.000475078
64,1917.21,0.6496,0.4152,1.14071,0.52975,0.58755,0.55264,0.35784,1.12682,0.72938,1.63334,0.000462579,0.000462579,0.000462579
65,2108.37,0.64222,0.40787,1.14043,0.58599,0.52032,0.55335,0.36061,1.12658,0.72234,1.63352,0.00045008,0.00045008,0.00045008
66,2308.56,0.63591,0.39853,1.13691,0.53134,0.5947,0.55276,0.3619,1.12359,0.72284,1.63507,0.000437581,0.000437581,0.000437581
67,2504.39,0.63211,0.39671,1.13021,0.56491,0.58717,0.55559,0.35892,1.12596,0.71057,1.63762,0.000425082,0.000425082,0.000425082
68,2703.95,0.62041,0.39126,1.11687,0.56949,0.62272,0.55623,0.36084,1.12771,0.71093,1.64226,0.000412584,0.000412584,0.000412584
69,2900.46,0.61587,0.38327,1.11606,0.59985,0.61572,0.55979,0.36345,1.12218,0.72102,1.64863,0.000400085,0.000400085,0.000400085
70,3097.24,0.60587,0.37878,1.10723,0.49783,0.58354,0.54061,0.35498,1.12254,0.72666,1.64936,0.000387586,0.000387586,0.000387586
71,3295.35,0.60143,0.37419,1.10037,0.59907,0.54922,0.54737,0.3585,1.12448,0.70761,1.65677,0.000375088,0.000375088,0.000375088
72,3493.35,0.59222,0.36632,1.101,0.69036,0.51758,0.55835,0.36289,1.12182,0.71803,1.65376,0.000362589,0.000362589,0.000362589
73,3690.58,0.5943,0.36234,1.09479,0.56012,0.56468,0.54624,0.35754,1.11727,0.71786,1.64454,0.00035009,0.00035009,0.00035009
74,3887.28,0.58379,0.36006,1.09031,0.68374,0.52594,0.55137,0.36241,1.10846,0.71434,1.64716,0.000337591,0.000337591,0.000337591
75,4081.83,0.57739,0.35456,1.08446,0.60208,0.55812,0.54601,0.35888,1.12116,0.72273,1.66559,0.000325093,0.000325093,0.000325093
76,4275.74,0.57345,0.35481,1.08307,0.62119,0.55713,0.55157,0.36333,1.11403,0.71935,1.66033,0.000312594,0.000312594,0.000312594
77,4469.01,0.56336,0.34711,1.07187,0.57943,0.53784,0.55418,0.36327,1.11077,0.72701,1.66088,0.000300095,0.000300095,0.000300095
78,4661.72,0.55492,0.34029,1.06734,0.7101,0.52749,0.56998,0.37656,1.10513,0.73078,1.66225,0.000287596,0.000287596,0.000287596
79,4854.28,0.55276,0.34327,1.06542,0.60487,0.54954,0.56035,0.37179,1.10958,0.72793,1.67037,0.000275097,0.000275097,0.000275097
80,5046.69,0.54393,0.33646,1.05706,0.73882,0.51536,0.56719,0.36962,1.11543,0.73289,1.67594,0.000262599,0.000262599,0.000262599
81,5239.77,0.54177,0.33242,1.05873,0.75057,0.52031,0.56805,0.3727,1.11596,0.72186,1.67607,0.0002501,0.0002501,0.0002501
82,5433.13,0.53756,0.32818,1.05658,0.67914,0.53557,0.5598,0.36425,1.11891,0.72265,1.67812,0.000237601,0.000237601,0.000237601
83,5626.25,0.53737,0.32707,1.05125,0.61402,0.54789,0.57131,0.3708,1.12036,0.72521,1.68289,0.000225103,0.000225103,0.000225103
84,5820.12,0.52802,0.32471,1.04842,0.62186,0.55028,0.5593,0.36432,1.11925,0.72556,1.68193,0.000212604,0.000212604,0.000212604
85,6013.39,0.52188,0.31852,1.04189,0.70647,0.52087,0.57545,0.37275,1.10993,0.72145,1.68013,0.000200105,0.000200105,0.000200105
86,6221.07,0.51898,0.31818,1.03802,0.63413,0.55413,0.57669,0.37402,1.11904,0.71951,1.69845,0.000187606,0.000187606,0.000187606
87,6417.7,0.51509,0.31534,1.0346,0.65227,0.54932,0.57593,0.37378,1.12309,0.72083,1.7072,0.000175108,0.000175108,0.000175108
88,6611.83,0.50357,0.30592,1.0277,0.65391,0.56367,0.55896,0.36452,1.1246,0.72222,1.71009,0.000162609,0.000162609,0.000162609
89,6807.75,0.50199,0.30683,1.02902,0.71362,0.53514,0.57376,0.37715,1.12273,0.71877,1.70951,0.00015011,0.00015011,0.00015011
90,7004.18,0.49617,0.30207,1.02135,0.75022,0.5306,0.57738,0.37577,1.11734,0.7182,1.70282,0.000137611,0.000137611,0.000137611
91,7224.87,0.49893,0.30629,1.02367,0.73052,0.53295,0.57495,0.37222,1.11765,0.72375,1.70775,0.000125112,0.000125112,0.000125112
92,7422.63,0.49786,0.30409,1.02239,0.72404,0.53069,0.57494,0.37285,1.12116,0.72572,1.71199,0.000112614,0.000112614,0.000112614
93,7613.91,0.49265,0.30032,1.02146,0.74003,0.5318,0.56741,0.36843,1.12417,0.72902,1.71293,0.000100115,0.000100115,0.000100115
94,7801.13,0.48834,0.30117,1.01846,0.67509,0.55664,0.57079,0.37064,1.12746,0.73073,1.71971,8.76162e-05,8.76162e-05,8.76162e-05
95,7989.1,0.47993,0.29586,1.00978,0.66802,0.5561,0.56583,0.37024,1.12644,0.73267,1.72402,7.51175e-05,7.51175e-05,7.51175e-05
96,8176.28,0.47717,0.29205,1.01099,0.75629,0.52546,0.56233,0.36796,1.12771,0.73517,1.73091,6.26188e-05,6.26188e-05,6.26188e-05
97,8362.45,0.48092,0.29218,1.01108,0.75799,0.52004,0.56268,0.36769,1.12777,0.73212,1.73427,5.012e-05,5.012e-05,5.012e-05
98,8548.6,0.47516,0.2912,1.00897,0.76127,0.52142,0.56581,0.36849,1.12463,0.73042,1.73186,3.76213e-05,3.76213e-05,3.76213e-05
99,8734.63,0.47736,0.28938,1.00821,0.76969,0.51954,0.56455,0.3716,1.12805,0.73268,1.7352,2.51225e-05,2.51225e-05,2.51225e-05
100,8920.35,0.4743,0.28964,1.00529,0.77617,0.51514,0.56273,0.37126,1.12677,0.73445,1.73423,1.26238e-05,1.26238e-05,1.26238e-05
