epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,450.785,0.75916,0.64605,1.15742,0.72157,0.77414,0.71854,0.47496,1.10949,0.85966,1.3578,0.00420143,0.00420143,0.00420143
43,591.583,0.74407,0.63056,1.14616,0.75328,0.73083,0.72804,0.47949,1.09509,0.84076,1.36365,0.00406,0.00406,0.00406
44,733.402,0.74518,0.63264,1.14727,0.73623,0.73793,0.71976,0.47258,1.10194,0.84911,1.35521,0.00391857,0.00391857,0.00391857
45,874.859,0.74044,0.61959,1.14863,0.71532,0.76378,0.71332,0.46563,1.1075,0.84253,1.36632,0.00377714,0.00377714,0.00377714
46,1016.55,0.73072,0.61704,1.13776,0.72138,0.76803,0.70764,0.46896,1.10982,0.82741,1.36315,0.00363571,0.00363571,0.00363571
47,1158.03,0.72318,0.59904,1.13277,0.75606,0.73029,0.71286,0.4762,1.11063,0.82763,1.36197,0.00349429,0.00349429,0.00349429
48,1299.62,0.71919,0.6032,1.1316,0.72733,0.77038,0.71948,0.46713,1.13384,0.85386,1.38489,0.00335286,0.00335286,0.00335286
49,1441.09,0.70905,0.58507,1.12347,0.71174,0.74862,0.7092,0.46913,1.1225,0.85023,1.38437,0.00321143,0.00321143,0.00321143
50,1582.68,0.70687,0.58551,1.12324,0.72361,0.75898,0.72355,0.47882,1.10617,0.84078,1.36217,0.00307,0.00307,0.00307
51,1724.14,0.69586,0.57128,1.11661,0.74171,0.74138,0.72236,0.47267,1.11135,0.8442,1.36741,0.00292857,0.00292857,0.00292857
52,1865.76,0.68928,0.57186,1.11212,0.72737,0.75107,0.71582,0.46447,1.12115,0.85031,1.38372,0.00278714,0.00278714,0.00278714
53,2007.25,0.68241,0.56073,1.10623,0.75814,0.70645,0.71931,0.47074,1.13528,0.86252,1.38888,0.00264571,0.00264571,0.00264571
54,2148.49,0.67866,0.55363,1.10419,0.7121,0.77361,0.70605,0.46382,1.13315,0.87448,1.39676,0.00250429,0.00250429,0.00250429
55,2288.69,0.6648,0.54016,1.09784,0.6949,0.76284,0.69925,0.45779,1.13767,0.8816,1.4068,0.00236286,0.00236286,0.00236286
56,2429,0.66382,0.54108,1.09519,0.70803,0.77229,0.70546,0.45434,1.13714,0.88384,1.41302,0.00222143,0.00222143,0.00222143
57,2569.14,0.65545,0.53422,1.09105,0.70768,0.77332,0.71083,0.45875,1.13311,0.87484,1.40139,0.00208,0.00208,0.00208
58,2709.45,0.65081,0.52598,1.08617,0.72303,0.7316,0.70517,0.45613,1.14915,0.88043,1.41678,0.00193857,0.00193857,0.00193857
59,2849.51,0.64408,0.51838,1.08241,0.73479,0.72156,0.70966,0.45796,1.13271,0.88339,1.41335,0.00179714,0.00179714,0.00179714
60,2989.74,0.63493,0.51189,1.07833,0.71915,0.74348,0.7041,0.45654,1.13164,0.89621,1.41326,0.00165571,0.00165571,0.00165571
61,3143.71,0.61055,0.39647,1.02538,0.70479,0.74906,0.70772,0.45292,1.13738,0.88388,1.41976,0.00151429,0.00151429,0.00151429
62,3283.69,0.58948,0.37542,1.01461,0.73479,0.72527,0.69652,0.451,1.13384,0.89859,1.41502,0.00137286,0.00137286,0.00137286
63,3423.39,0.58033,0.36699,1.00618,0.70678,0.75322,0.68901,0.44826,1.12978,0.90885,1.4092,0.00123143,0.00123143,0.00123143
