epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1219.47,1.29538,1.13199,1.45734,0.76086,0.71976,0.78347,0.4776,1.39827,1.10129,1.55282,0.0011882,0.0011882,0.0011882
43,1248.14,1.30257,1.12333,1.46595,0.7687,0.69684,0.77823,0.47481,1.44121,1.10255,1.58553,0.0011684,0.0011684,0.0011684
44,1276.65,1.29795,1.10585,1.47417,0.8305,0.71124,0.78743,0.46822,1.4101,1.10983,1.52922,0.0011486,0.0011486,0.0011486
45,1305.18,1.2771,1.08882,1.44993,0.80592,0.72837,0.81671,0.50955,1.34891,1.00275,1.50722,0.0011288,0.0011288,0.0011288
46,1333.65,1.27972,1.06949,1.45764,0.78945,0.70161,0.78714,0.48006,1.38093,1.08632,1.52965,0.001109,0.001109,0.001109
47,1362.29,1.25217,1.05641,1.43552,0.78477,0.72777,0.80598,0.49603,1.38167,1.02547,1.52807,0.0010892,0.0010892,0.0010892
48,1390.97,1.26193,1.05939,1.43643,0.82161,0.70571,0.78128,0.479,1.4075,1.10767,1.55605,0.0010694,0.0010694,0.0010694
49,1419.4,1.23564,1.03322,1.41333,0.77107,0.69942,0.77011,0.46891,1.41679,1.10539,1.56992,0.0010496,0.0010496,0.0010496
50,1448.04,1.23689,1.02518,1.40646,0.80415,0.7119,0.79552,0.49863,1.35451,1.07807,1.51264,0.0010298,0.0010298,0.0010298
51,1476.66,1.23613,1.04602,1.42255,0.83303,0.71169,0.81116,0.51395,1.34746,1.0307,1.49591,0.00101,0.00101,0.00101
52,1505.55,1.19892,0.96267,1.38218,0.78808,0.77218,0.82891,0.53094,1.29883,0.93434,1.47746,0.0009902,0.0009902,0.0009902
53,1535.03,1.18027,0.97231,1.37449,0.83884,0.72581,0.83121,0.52373,1.32741,0.97232,1.49408,0.0009704,0.0009704,0.0009704
54,1564.61,1.20775,0.98825,1.39216,0.80985,0.7213,0.80552,0.50516,1.38608,1.0364,1.5198,0.0009506,0.0009506,0.0009506
55,1593.69,1.21411,0.99592,1.40968,0.78834,0.74341,0.80985,0.50438,1.35636,1.00253,1.49817,0.0009308,0.0009308,0.0009308
56,1623.3,1.19617,0.96468,1.39065,0.81827,0.75347,0.82263,0.51406,1.33409,0.97632,1.49517,0.000911,0.000911,0.000911
57,1652.9,1.18686,0.96521,1.37793,0.82111,0.74959,0.82891,0.52496,1.34665,0.98263,1.50726,0.0008912,0.0008912,0.0008912
